OBJECTID_12;OBJECTID;FID_1;CODIGO_BARRIO;NOMBRE_BARRIO;NOMBRE_LOCALIDAD;CODIGO_LOCALIDAD;CODIGO_UPZ;NOMBRE_UPZ
1;958;27;8412;SANTA BIBIANA;USAQUEN;1;16;SANTA BARBARA
2;964;77;8418;SAN PATRICIO;USAQUEN;1;16;SANTA BARBARA
3;968;95;8417;SANTA BARBARA OCCIDENTAL;USAQUEN;1;16;SANTA BARBARA
4;975;293;8415;SANTA BARBARA CENTRAL;USAQUEN;1;16;SANTA BARBARA
5;981;433;8411;RINCON DEL CHICO;USAQUEN;1;16;SANTA BARBARA
6;993;619;8416;MOLINOS NORTE;USAQUEN;1;16;SANTA BARBARA
7;656;245;5604;EL REAL;ENGATIVA;10;31;SANTA CECILIA
8;667;359;5507;NORMANDIA;ENGATIVA;10;31;SANTA CECILIA
9;691;603;5605;EL ENCANTO;ENGATIVA;10;31;SANTA CECILIA
10;712;816;5614;VILLA LUZ;ENGATIVA;10;31;SANTA CECILIA
11;713;817;5606;NORMANDIA OCCIDENTAL;ENGATIVA;10;31;SANTA CECILIA
12;721;981;5638;SANTA CECILIA;ENGATIVA;10;31;SANTA CECILIA
13;173;491;9130;CANODROMO;SUBA;11;19;EL PRADO
14;175;502;9117;PRADO VERANIEGO SUR;SUBA;11;19;EL PRADO
15;199;676;9107;PRADO VERANIEGO;SUBA;11;19;EL PRADO
16;200;683;9104;VICTORIA NORTE;SUBA;11;19;EL PRADO
17;204;729;9106;SAN JOSE DEL PRADO;SUBA;11;19;EL PRADO
18;206;741;9105;PRADO PINZON;SUBA;11;19;EL PRADO
19;221;984;9110;MAZUREN;SUBA;11;19;EL PRADO
20;233;1086;9131;SANTA HELENA;SUBA;11;19;EL PRADO
21;875;39;1306;SAN PEDRO;SAN CRISTOBAL;4;32;SAN BLAS
22;877;68;1107;LAS MERCEDES;SAN CRISTOBAL;4;32;SAN BLAS
23;879;80;1106;SAN BLAS;SAN CRISTOBAL;4;32;SAN BLAS
24;887;126;1307;RAMAJAL;SAN CRISTOBAL;4;32;SAN BLAS
25;889;143;1108;SAN CRISTOBAL SUR;SAN CRISTOBAL;4;32;SAN BLAS
26;894;162;1309;SAN VICENTE;SAN CRISTOBAL;4;32;SAN BLAS
27;897;210;1113;SAN BLAS II;SAN CRISTOBAL;4;32;SAN BLAS
28;899;277;1104;MOLINOS DE ORIENTE;SAN CRISTOBAL;4;32;SAN BLAS
29;907;342;1115;MONTE CARLO;SAN CRISTOBAL;4;32;SAN BLAS
30;908;363;1357;SANTA INES SUR II;SAN CRISTOBAL;4;32;SAN BLAS
